zip,fema_zone,era_firm,buildings,lag_median_ft,ffe_p25_ft,ffe_median_ft,ffe_p75_ft,provenance
33127-0000,X,pre,3457,9.83,10.72,11.43,12.44,no_local_observations
33129-0000,X,pre,1574,10.07,10.89,11.67,12.95,no_local_observations
33130-0000,X,pre,736,10.23,10.62,11.84,14.1,no_local_observations
33137-0000,X,pre,727,11.28,11.63,12.88,15.32,no_local_observations
33130-0000,AE,pre,546,3.91,4.36,5.5,7.45,observed_stratum
33127-0000,X,post,516,10.02,10.76,11.61,13.97,no_local_observations
33127-0000,X,NA,472,10.46,10.87,12.07,15.29,no_local_observations
33128-0000,AE,pre,409,5.23,6.4,6.83,7.17,observed_stratum
33136-0000,X,pre,321,10.99,10.75,12.59,13.43,no_local_observations
33136-0000,X,post,264,11.29,10.39,12.89,14.14,no_local_observations
33136-0000,X,NA,257,10.57,10.36,12.17,12.95,no_local_observations
33129-0000,X,post,252,10.84,11.12,12.43,15.34,no_local_observations
33136-0000,AE,pre,250,3.25,4.01,4.86,5.57,observed_stratum
33130-0000,X,post,170,11.44,11.13,13.04,14.63,no_local_observations
33137-0000,AE,pre,160,5.62,5.68,7.21,8.25,observed_stratum
33137-0000,X,NA,158,10.04,10.51,11.64,12.44,no_local_observations
33130-0000,AE,NA,149,3.7,4.54,5.3,7.62,assumed_default
33129-0000,X,NA,142,12.0,11.56,13.59,16.67,no_local_observations
33130-0000,AE,post,127,4.35,9.8,9.8,9.8,observed_stratum
33137-0000,X,post,123,10.41,10.95,12.01,13.02,no_local_observations
33130-0000,X,NA,112,11.11,10.41,12.71,14.55,no_local_observations
33132-0000,AE,pre,100,6.78,5.48,8.38,10.49,observed_stratum
33128-0000,AE,NA,97,4.78,5.03,6.38,7.36,assumed_default
33128-0000,AE,post,86,5.33,9.8,9.8,9.8,observed_stratum
33137-0000,AE,NA,81,3.31,3.99,4.91,6.83,assumed_default
33130-0000,AH,pre,77,7.13,7.45,8.48,8.83,observed_stratum
33127-0000,AH,pre,77,8.4,9.34,9.75,10.05,observed_stratum
33136-0000,AE,post,76,3.87,9.8,9.8,9.8,observed_stratum
33145-0000,X,pre,69,9.34,10.72,10.94,11.17,no_local_observations
33132-0000,X,NA,68,9.09,10.13,10.7,11.6,no_local_observations
33137-0000,AE,post,62,5.96,9.8,9.83,10.8,observed_stratum
33136-0000,AE,NA,62,3.63,4.15,5.23,6.55,assumed_default
33132-0000,AE,post,61,5.68,9.8,9.8,11.8,observed_stratum
NA,X,NA,52,9.23,10.46,10.83,11.98,no_local_observations
33131-0000,AE,NA,49,3.76,4.49,5.36,6.25,assumed_default
33139-0000,AE,pre,36,3.17,4.12,4.78,5.23,observed_stratum
33132-0000,AE,NA,35,4.54,4.38,6.14,9.16,assumed_default
33131-0000,AE,post,32,3.65,11.72,12.8,12.8,observed_stratum
33132-0000,X,pre,31,9.05,8.91,10.65,11.27,no_local_observations
33136-0000,AH,NA,30,7.31,7.3,8.91,11.93,assumed_default
33132-0000,X,post,27,9.38,10.64,10.98,11.31,no_local_observations
33128-0000,X,post,25,6.29,7.52,7.89,8.61,no_local_observations
33139-0000,AE,post,24,2.92,9.8,9.8,9.8,observed_stratum
33129-0000,AH,pre,22,7.43,8.52,8.78,9.02,observed_stratum
33131-0000,AE,pre,22,5.11,5.39,6.71,7.6,observed_stratum
33135-0000,X,pre,22,9.55,10.05,11.15,11.8,no_local_observations
33127-0000,AH,post,19,8.72,12.3,12.3,12.3,observed_stratum
NA,AE,NA,16,2.37,3.59,3.96,5.7,assumed_default
33139-0000,AE,NA,16,3.22,4.74,4.82,4.89,assumed_default
33130-0000,AH,NA,13,6.76,7.57,8.36,8.72,assumed_default
33136-0000,AH,post,12,7.2,12.3,12.3,12.3,observed_stratum
33128-0000,X,pre,11,7.79,7.55,9.39,11.33,no_local_observations
33142-0000,X,NA,10,7.98,8.97,9.58,10.86,no_local_observations
33136-0000,AH,pre,10,8.32,9.35,9.68,10.24,observed_stratum
33129-0000,VE,NA,10,4.34,4.73,5.95,6.93,assumed_default
