site_no,station_name,lat,lon,land_surface_alt_ft,land_surface_alt_datum,well_depth_ft,hole_depth_ft,aquifer_code,aquifer,national_aquifer_code,aquifer_type_code,datum,construction_date,huc,distance_from_AOI_center_km,inside_AOI,n_level_obs,period_of_record
254822080125501,G  -3704,25.8062333,-80.2152,10.4,NGVD29,112,120,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19990519,03090202,3.277,N,327,2000-11-08/2026-04-09
254923080120201,G  -3226,25.8234307,-80.2003256,10,NAVD88,111,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19791029,03090206,4.345,N,6,1995-04-26/1997-05-05
254908080125201,G  -3603,25.8194722,-80.2138333,10.2,NGVD29,169,170,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19950914,03090202,4.388,Y,246,1996-10-24/2026-04-09
254903080131301,"G  -5015 Miami-Dade County, FL",25.8175,-80.2203,12.7,NAVD88,154.0,156.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,030902061405,4.561,N,68,2024-04-01/2026-08-11
254943080121501,F  -  45,25.8288389,-80.2041556,9.8,NGVD29,84.9,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,5.012,N,1914,1959-12-02/2026-08-11
254629080143101,G  -3605,25.7748333,-80.2417222,13.2,NGVD29,110,110,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19950915,03090202,5.057,N,282,1996-10-17/2020-01-23
254957080111101,F  - 229,25.8328747,-80.1861584,8.00,NGVD29,131,,,,,,NAD83,,03090202,5.361,N,6,1976-10-07/1977-05-05
255055080113601,G  - 183,25.8350969,-80.1917142,11.78,NGVD29,350,,,,,,NAD83,,03090202,5.571,N,3,1940-09-10/1940-09-10
255014080120301,F  -  33,25.8375968,-80.2006033,8,NAVD88,56.7,,,,,,NAD83,,03090206,5.904,N,3,1976-05-04/1976-05-04
254629080150401,F  - 129,25.7750992,-80.250883,9,NAVD88,53.1,,,,,,NAD83,,03090206,5.949,N,12,1975-10-06/1977-05-03
255011080124501,G  -3947,25.8364722,-80.2126111,11.71,NGVD29,200,229,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,6.067,N,585,2011-01-18/2026-08-11
254601080150301,G  -3977D,25.7668139,-80.2510972,11.44,NGVD29,143.5,150.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,20160106,03090202,6.206,N,141,2016-04-26/2026-07-27
254601080150302,G  -3977S,25.7668139,-80.2510972,11.44,NGVD29,51.5,150.,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,20160106,03090202,6.206,N,132,2016-04-26/2026-07-27
254542080145901,G  -3888A,25.7618611,-80.2499444,14.14,NGVD29,143.5,149,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,20090803,03090202,6.301,N,582,2010-01-07/2026-07-28
254542080145902,G  -3888B,25.7618611,-80.2499444,14.14,NGVD29,141,149,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,20090803,03090202,6.301,N,552,2011-11-23/2026-07-28
254542080145903,G  -3888C,25.7618611,-80.2499444,14.14,NGVD29,88,149,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,20090803,03090202,6.301,N,540,2011-11-23/2026-07-28
254722080152201,G  -3604,25.7899167,-80.2562778,5.0,NGVD29,120,120,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19950818,03090202,6.409,N,348,1997-04-21/2026-07-27
254922080142701,G  -3959,25.8229167,-80.2409722,9.4,NGVD29,15.0,15.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,2010,03090202,6.428,N,330,2012-01-13/2026-06-04
254612080152201,"G  -5017 Miami-Dade County, FL",25.770169,-80.256319,9.09,NAVD88,135.0,135.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,030902061405,6.6,N,46,2024-11-05/2026-07-27
254628080152901,G  -3228,25.7748214,-80.2578277,8,NAVD88,96.1,98,112BSCNS,Biscayne Sandy Limestone Aquifer,N400BISCYN,U,NAD83,19790810,03090202,6.638,N,3,1979-08-20/1979-08-20
254426080142001,F  - 177,25.7409337,-80.2386606,9,NAVD88,55.5,,,,,,NAD83,,03090202,6.736,N,6,1940-05-17/1940-06-19
254851080151101,G  -1353,25.8145422,-80.2528274,8.00,NGVD29,103,,,,,,NAD83,19680101,03090202,6.875,N,18,1976-03-12/1976-06-01
254406080140501,F  - 213,25.7353783,-80.2344938,14,NAVD88,69.1,,,,,,NAD83,,03090202,6.938,N,6,1940-05-15/1940-06-21
254444080144801,F  - 179,25.7456472,-80.2464,9.5,NGVD29,77,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,6.948,N,645,1984-01-23/2026-08-05
254833080152801,G  -1355,25.8095424,-80.2575498,8.00,NGVD29,104,,,,,,NAD83,19680101,03090202,7.061,N,18,1976-03-12/1976-06-01
254707080155801,G -5005,25.7852083,-80.2659917,8,NAVD88,179.5,180,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,20191011,03090202,7.358,N,180,2020-04-21/2026-07-27
254824080155301,G  -3964,25.8068972,-80.2648278,7.04,NGVD29,130,189,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,20140528,03090202,7.639,N,258,2014-10-09/2026-08-14
254849080154802,G  - 576,25.8139867,-80.2631055,6.44,NGVD29,97.3,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,7.769,N,315,1975-10-07/1996-09-27
255116080120601,G  -3602,25.8548056,-80.2014444,5.2,NGVD29,160,160,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19950913,03090202,7.813,N,375,1996-10-17/2026-07-13
254833080155801,G  -1354,25.8095833,-80.2657222,6.6,NGVD29,104,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,7.824,N,1080,1976-05-04/2026-08-14
254738080161401,G  -1352,25.7942652,-80.270328,8.00,NGVD29,89,,,,,,NAD83,19680101,03090202,7.86,N,39,1977-05-03/1984-05-24
254331080142402,G  -3749,25.7257842,-80.2399968,2.43,NGVD29,,63.2,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,8.123,N,36,1998-02-20/1999-03-03
254331080142403,G  -3750,25.7258064,-80.2400246,2.62,NGVD29,,98.3,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,8.123,N,33,1998-03-03/1999-03-03
254331080142401,G  -3748,25.7257537,-80.239969,2.37,NGVD29,,35.5,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,8.124,N,33,1998-03-03/1999-03-03
254813080161501,G  -1351,25.804,-80.2709167,6.80,NGVD29,103,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,8.13,N,1383,1975-10-07/2026-08-14
254828080161501,G  - 354,25.8084833,-80.2705833,6.33,NGVD29,90.2,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,8.242,N,762,1990-10-25/2020-07-17
254828080161502,"G  - 354R Miami-Dade County, FL",25.808567,-80.270767,5.2,NAVD88,91.0,91.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,030902061405,8.262,N,64,2024-01-29/2026-08-14
254338080144501,G  -  43,25.7276008,-80.2456054,8,NAVD88,12.8,,,,,,NAD83,,03090202,8.308,N,3,1940-10-05/1940-10-05
254842080161502,G  - 355,25.8120423,-80.2706057,4.29,NGVD29,82.9,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19440801,03090202,8.378,N,147,1975-10-07/1990-10-15
254903080160901,F  - 237,25.8178755,-80.2689389,4,NAVD88,55.4,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090206,8.481,N,30,1975-10-07/1980-10-07
254903080160902,F  - 237A,25.8178755,-80.2689389,4,NAVD88,107,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19750701,03090202,8.481,N,3,1976-05-04/1976-05-04
254457080160301,G  -3229,25.7495556,-80.2675556,6.9,NGVD29,85,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19790801,03090202,8.487,N,963,1993-10-28/2026-07-28
254839080162301,G  -3467,25.811472,-80.272778,4.3,NGVD29,27.5,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,19880115,03090202,8.559,N,559,1989-11-27/2026-07-13
254758080163801,G  - 991,25.7998206,-80.2769948,6.57,NGVD29,107,,,,,,NAD83,19590101,03090202,8.618,N,9,1977-05-03/1978-05-03
254834080162801,G  - 570,25.8098202,-80.2742169,5.77,NGVD29,87,94.1,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19480201,03090202,8.634,N,147,1975-10-07/1996-04-23
254845080162501,F  -   7,25.8128757,-80.2733835,5,NAVD88,54.8,,,,,,NAD83,,03090206,8.67,N,54,1975-10-07/1984-10-16
254326080145201,MIAMI-DADE G-3747,25.7244065,-80.247636,00016.09,NGVD29,98.1,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,8.711,N,42,1998-02-20/1999-03-03
254837080163001,F  -   9,25.8106535,-80.2747725,5,NAVD88,48.8,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090206,8.716,N,42,1975-10-07/1982-10-18
254823080163701,G  -3327,25.8053611,-80.2767778,6.2,NGVD29,54,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,8.736,N,810,1989-11-27/2026-08-14
254842080164101,F  -  10,25.8120424,-80.2778281,8.57,NGVD29,80.7,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,9.056,N,72,1975-10-07/1995-04-26
254855080125001,F  -   5,25.8156534,-80.2764391,4,NAVD88,53,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19390301,03090206,9.068,N,60,1975-10-07/1985-05-30
254500080162801,G  -3965,25.7500444,-80.2745,9.95,NGVD29,119,136,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,20140424,03090202,9.085,N,264,2014-10-27/2026-07-28
254855080163701,G  - 548,25.8155278,-80.2767778,6.4,NGVD29,97.3,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19470620,03090202,9.094,N,1395,1975-10-07/2026-07-13
254319080150401,G  -  40,25.7223232,-80.2508834,9,NAVD88,20,,,,,,NAD83,,03090202,9.097,N,3,1940-10-09/1940-10-09
254841080164401,G  - 571,25.8118611,-80.2786944,6.00,NGVD29,94.5,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,9.131,N,1425,1975-10-07/2026-08-14
254840080164501,F  -   6,25.8114868,-80.2789392,5,NAVD88,47.7,,,,,,NAD83,,03090206,9.141,N,42,1975-10-07/1984-10-16
