metric,geography,as_of_date,value,unit,source_url
Commercial Non-Residential Multiperil building count,"Miami-Dade County, FL",2022-12-31,45,buildings,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial Non-Residential Multiperil policies in force,"Miami-Dade County, FL",2022-12-31,37,policies,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial Non-Residential Multiperil total exposure,"Miami-Dade County, FL",2022-12-31,41165500,USD,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial Non-Residential Multiperil total premium,"Miami-Dade County, FL",2022-12-31,423211,USD,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial Non-Residential Wind-Only building count,"Miami-Dade County, FL",2022-12-31,759,buildings,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial Non-Residential Wind-Only policies in force,"Miami-Dade County, FL",2022-12-31,577,policies,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial Non-Residential Wind-Only total exposure,"Miami-Dade County, FL",2022-12-31,346084966,USD,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial Non-Residential Wind-Only total premium,"Miami-Dade County, FL",2022-12-31,5481432,USD,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial Residential Multiperil building count,"Miami-Dade County, FL",2022-12-31,1358,buildings,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial Residential Multiperil policies in force,"Miami-Dade County, FL",2022-12-31,442,policies,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial Residential Multiperil total exposure,"Miami-Dade County, FL",2022-12-31,3797757383,USD,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial Residential Multiperil total premium,"Miami-Dade County, FL",2022-12-31,19926546,USD,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial Residential Wind-Only building count,"Miami-Dade County, FL",2022-12-31,1361,buildings,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial Residential Wind-Only policies in force,"Miami-Dade County, FL",2022-12-31,768,policies,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial Residential Wind-Only total exposure,"Miami-Dade County, FL",2022-12-31,4166416563,USD,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial Residential Wind-Only total premium,"Miami-Dade County, FL",2022-12-31,33449001,USD,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial total policies in force (CR-M+CR-W+CNR-M+CNR-W),"Miami-Dade County, FL",2022-12-31,1824,policies,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Personal Residential Multiperil building count,"Miami-Dade County, FL",2022-12-31,196663,buildings,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Personal Residential Multiperil policies in force,"Miami-Dade County, FL",2022-12-31,196663,policies,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Personal Residential Multiperil total exposure,"Miami-Dade County, FL",2022-12-31,57593005736,USD,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Personal Residential Multiperil total premium,"Miami-Dade County, FL",2022-12-31,709199968,USD,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
