zip,year_of_loss,paid_usd
33128,1978,0
33128,1982,0
33128,1992,536122
33128,1999,279325
33128,2000,19844
33128,2005,43266
33128,2007,213159
33128,2011,25703
33128,2015,0
33128,2017,601155
33128,2022,147830
33128,2025,0
33130,1978,9556
33130,1979,0
33130,1981,0
33130,1984,24596
33130,1987,0
33130,1990,40314
33130,1992,250007
33130,1993,6839
33130,1994,97204
33130,1995,0
33130,1996,0
33130,1997,0
33130,1998,0
33130,1999,645219
33130,2000,308789
33130,2001,0
33130,2003,0
33130,2005,1954
33130,2007,312519
33130,2010,0
33130,2011,9661
33130,2013,44113
33130,2014,110973
33130,2015,64822
33130,2016,0
33130,2017,585016
33130,2018,0
33130,2020,66126
33130,2022,223459
33131,1979,45002
33131,1980,0
33131,1982,0
33131,1984,2638
33131,1987,0
33131,1989,2873
33131,1992,2764231
33131,1993,15065
33131,1994,0
33131,1995,430712
33131,1998,8115
33131,1999,213779
33131,2000,8891
33131,2001,145988
33131,2004,6025
33131,2005,458860
33131,2007,4938
33131,2011,8180
33131,2014,5424
33131,2015,0
33131,2016,0
33131,2017,3368753
33131,2019,0
33131,2020,0
33131,2022,0
33131,2023,158678
33131,2024,0
33132,1979,840
33132,1981,5205
33132,1982,0
33132,1983,129
33132,1984,14776
33132,1985,3511
33132,1986,2114
33132,1987,5270
33132,1990,188
33132,1991,15730
33132,1992,1026
33132,1994,31756
33132,1998,142609
33132,1999,94070
33132,2000,23289
33132,2001,7447
33132,2002,0
33132,2004,0
33132,2005,99408
33132,2009,0
33132,2011,54927
33132,2012,0
33132,2014,18406
33132,2015,56446
33132,2017,182046
33132,2019,90561
33132,2022,401530
33137,1979,10664
33137,1981,6515
33137,1982,857
33137,1983,10390
33137,1984,18012
33137,1986,0
33137,1987,1
33137,1991,1162
33137,1992,625067
33137,1993,0
33137,1994,206296
33137,1997,10075
33137,1998,535
33137,1999,343833
33137,2000,24426
33137,2001,0
33137,2005,68908
33137,2008,8866
33137,2009,37197
33137,2011,119786
33137,2012,0
33137,2013,0
33137,2015,147850
33137,2017,2490179
33137,2018,0
33137,2019,1571126
33137,2020,506061
33137,2021,138491
33137,2022,399862
33137,2023,0
33137,2024,17328
33137,2025,0
