metric,geography,value,unit,source_url
Total policies analyzed (all NFIP policies),Florida,1727811,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Policies with premium DECREASE under RR2.0 (all NFIP policies),Florida,342109,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Percent of policies with premium DECREASE under RR2.0 (all NFIP policies),Florida,19.8,percent,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Policies with premium INCREASE under RR2.0 (all NFIP policies),Florida,1385702,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)  [derived: grand total - decreases]
Percent of policies with premium INCREASE under RR2.0 (all NFIP policies),Florida,80.2,percent,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)  [derived: 100 - pct decrease]
Policies with increase greater than $20/month (all NFIP policies),Florida,72842,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Percent of policies with increase greater than $20/month (all NFIP policies),Florida,4.22,percent,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Policies in band $100+ decrease (all NFIP policies),Florida,22865,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Percent of policies in band $100+ decrease (all NFIP policies),Florida,1.323,percent,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Policies in band $90-$100 decrease (all NFIP policies),Florida,2979,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
