Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 9 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 25.774 Degree
Longitude: -80.190 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.571,0.654,0.790,0.905,1.06,1.19,1.31,1.44,1.61,1.74
10-min:, 0.836,0.957,1.16,1.32,1.56,1.74,1.92,2.11,2.36,2.55
15-min:, 1.02,1.17,1.41,1.62,1.90,2.12,2.34,2.57,2.88,3.11
30-min:, 1.54,1.78,2.17,2.50,2.94,3.29,3.64,3.99,4.46,4.82
60-min:, 2.06,2.37,2.90,3.38,4.06,4.63,5.22,5.85,6.72,7.42
2-hr:, 2.58,2.96,3.64,4.26,5.19,5.97,6.80,7.70,8.98,10.0
3-hr:, 2.87,3.29,4.08,4.81,5.96,6.94,8.01,9.19,10.9,12.3
6-hr:, 3.37,3.90,4.90,5.87,7.40,8.73,10.2,11.8,14.2,16.1
12-hr:, 3.88,4.58,5.86,7.08,8.98,10.6,12.4,14.4,17.2,19.6
24-hr:, 4.49,5.32,6.86,8.29,10.5,12.4,14.5,16.7,20.0,22.6
2-day:, 5.29,6.21,7.90,9.47,11.9,14.0,16.2,18.7,22.3,25.2
3-day:, 5.92,6.90,8.68,10.3,12.8,15.0,17.3,19.8,23.4,26.3
4-day:, 6.48,7.48,9.28,10.9,13.5,15.6,17.9,20.4,24.0,26.9
7-day:, 7.95,8.88,10.6,12.2,14.6,16.7,19.0,21.5,25.1,28.1
10-day:, 9.12,10.1,11.8,13.4,15.9,18.0,20.3,22.8,26.4,29.3
20-day:, 12.0,13.5,15.9,17.9,20.9,23.2,25.6,28.2,31.6,34.3
30-day:, 14.4,16.2,19.3,21.7,25.1,27.7,30.2,32.7,36.0,38.4
45-day:, 17.5,19.7,23.4,26.2,30.0,32.8,35.4,37.9,41.1,43.4
60-day:, 20.2,22.7,26.7,29.8,33.8,36.7,39.4,41.9,45.0,47.2

Date/time (GMT):  Thu Aug 20 17:34:12 2026
pyRunTime:  0.02118992805480957
