scenario,confidence,projection_year,rsl_ft_median,rsl_ft_p17,rsl_ft_p83,rsl_ft_p05,rsl_ft_p95,baseline,source_url
SSP1-1.9,medium,2020,0.24,0.15,0.33,0.09,0.41,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-1.9,medium,2030,0.44,0.31,0.58,0.23,0.71,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-1.9,medium,2040,0.62,0.47,0.83,0.35,1.01,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-1.9,medium,2050,0.85,0.64,1.12,0.5,1.36,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-1.9,medium,2060,1.02,0.75,1.38,0.56,1.7,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-1.9,medium,2070,1.23,0.92,1.66,0.72,2.04,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-1.9,medium,2080,1.4,1.06,1.91,0.85,2.33,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-1.9,medium,2090,1.59,1.17,2.18,0.93,2.68,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-1.9,medium,2100,1.78,1.26,2.47,0.95,3.05,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-1.9,medium,2110,1.98,1.35,2.79,1.02,3.43,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-1.9,medium,2120,2.15,1.46,3.06,1.09,3.77,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-1.9,medium,2130,2.33,1.56,3.33,1.15,4.12,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-1.9,medium,2140,2.5,1.65,3.59,1.22,4.47,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-1.9,medium,2150,2.66,1.74,3.85,1.28,4.81,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-2.6,medium,2020,0.26,0.18,0.35,0.12,0.42,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-2.6,medium,2030,0.48,0.35,0.63,0.26,0.74,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-2.6,medium,2040,0.68,0.52,0.89,0.41,1.06,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-2.6,medium,2050,0.91,0.71,1.17,0.59,1.4,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-2.6,medium,2060,1.1,0.87,1.43,0.73,1.74,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-2.6,medium,2070,1.33,1.05,1.75,0.89,2.13,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-2.6,medium,2080,1.54,1.18,2.06,1.0,2.51,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-2.6,medium,2090,1.73,1.32,2.35,1.1,2.88,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-2.6,medium,2100,1.94,1.46,2.64,1.2,3.26,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-2.6,medium,2110,2.16,1.54,3.02,1.26,3.69,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-2.6,medium,2120,2.36,1.66,3.33,1.35,4.07,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
SSP1-2.6,medium,2130,2.55,1.77,3.63,1.43,4.46,1995-2014 mean,https://zenodo.org/records/6382554/files/ar6-regional-confidence.zip (DOI 10.5281/zenodo.6382554)
