scenario,projection_year,rsl_ft,ci_low_ft,ci_high_ft,source
High,2005,0.0,0.0,0.0,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
High,2020,0.3,0.23,0.36,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
High,2030,0.56,0.39,0.75,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
High,2040,0.95,0.66,1.28,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
High,2050,1.48,1.08,1.97,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
High,2060,2.23,1.71,2.82,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
High,2070,3.22,2.46,3.84,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
High,2080,4.4,3.44,5.02,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
High,2090,5.64,4.76,6.3,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
High,2100,6.96,6.1,7.64,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
High,2110,8.33,7.09,9.25,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
High,2120,9.51,7.84,11.06,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
High,2130,10.5,8.46,13.32,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
High,2140,11.48,8.99,15.65,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
High,2150,12.3,9.45,18.11,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Intermediate,2005,0.0,0.0,0.0,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Intermediate,2020,0.3,0.23,0.36,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Intermediate,2030,0.52,0.39,0.62,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Intermediate,2040,0.75,0.59,0.95,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Intermediate,2050,1.05,0.85,1.31,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Intermediate,2060,1.38,1.12,1.71,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Intermediate,2070,1.8,1.48,2.2,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Intermediate,2080,2.3,1.87,2.72,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Intermediate,2090,2.89,2.43,3.35,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Intermediate,2100,3.64,2.95,4.1,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Intermediate,2110,4.36,3.48,5.15,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
